profile,type,REGION,time,price
wind,green,SA,1/12/2024,38
wind,green,VIC,1/12/2024,38
baseload,green,NSW,1/12/2024,38
baseload,green,QLD,1/12/2024,38
baseload,green,SA,1/12/2024,38
baseload,green,VIC,1/12/2024,38
baseload,Energy,NSW,1/01/2025,81.5
baseload,Energy,QLD,1/01/2025,92.6
baseload,Energy,SA,1/01/2025,78.6
baseload,Energy,VIC,1/01/2025,92
solar,Energy,NSW,1/01/2025,55.2
solar,Energy,QLD,1/01/2025,63.6
solar,Energy,SA,1/01/2025,43.1
solar,Energy,VIC,1/01/2025,65.1
solar,green,NSW,1/01/2025,41
solar,green,QLD,1/01/2025,41
solar,green,SA,1/01/2025,41
solar,green,VIC,1/01/2025,41
wind,Energy,NSW,1/01/2025,78.5
wind,Energy,QLD,1/01/2025,99.5
wind,Energy,SA,1/01/2025,57.3
wind,Energy,VIC,1/01/2025,81.8
wind,green,NSW,1/01/2025,41
wind,green,QLD,1/01/2025,41
wind,green,SA,1/01/2025,41
wind,green,VIC,1/01/2025,41
baseload,green,NSW,1/01/2025,41
baseload,green,QLD,1/01/2025,41
baseload,green,SA,1/01/2025,41
baseload,green,VIC,1/01/2025,41
baseload,Energy,NSW,1/02/2025,83.3
baseload,Energy,QLD,1/02/2025,83.9
baseload,Energy,SA,1/02/2025,65.7
baseload,Energy,VIC,1/02/2025,93.9
solar,Energy,NSW,1/02/2025,52.2
solar,Energy,QLD,1/02/2025,54.4
solar,Energy,SA,1/02/2025,35.9
solar,Energy,VIC,1/02/2025,68
solar,green,NSW,1/02/2025,41
solar,green,QLD,1/02/2025,41
solar,green,SA,1/02/2025,41
solar,green,VIC,1/02/2025,41
wind,Energy,NSW,1/02/2025,82.5
wind,Energy,QLD,1/02/2025,85.3
wind,Energy,SA,1/02/2025,51.6
wind,Energy,VIC,1/02/2025,73.2
wind,green,NSW,1/02/2025,41
wind,green,QLD,1/02/2025,41
wind,green,SA,1/02/2025,41
wind,green,VIC,1/02/2025,41
baseload,green,NSW,1/02/2025,41
baseload,green,QLD,1/02/2025,41
baseload,green,SA,1/02/2025,41
baseload,green,VIC,1/02/2025,41
baseload,Energy,NSW,1/03/2025,96.9
baseload,Energy,QLD,1/03/2025,117.5
baseload,Energy,SA,1/03/2025,135.2
baseload,Energy,VIC,1/03/2025,113.3
solar,Energy,NSW,1/03/2025,73.9
solar,Energy,QLD,1/03/2025,79.7
solar,Energy,SA,1/03/2025,65
solar,Energy,VIC,1/03/2025,83.6
solar,green,NSW,1/03/2025,41
solar,green,QLD,1/03/2025,41
solar,green,SA,1/03/2025,41
solar,green,VIC,1/03/2025,41
